"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"FYD","QNB FİNANS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,1787","4,4164","24,2400","52,5896","47,6953","921,6625","1.729,5520"
"DMG","DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-6,0286","2,8373","29,1069","30,0526","47,5981","-","-"
"YBS","YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,4677","11,0551","23,0662","28,8935","47,5846","124,8654","190,5305"
"GPB","GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8568","10,8843","23,6369","30,3729","47,5701","131,4339","223,2694"
"FZJ","FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,1104","8,4497","20,6177","28,8213","47,5370","-","-"
"OSL","OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,9643","12,1102","25,0151","30,9186","47,5312","114,3076","181,1670"
"GYK","INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,0743","11,0613","23,8971","29,0459","47,4670","141,3109","215,7667"
"DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,1652","-1,3819","11,8405","29,0195","47,4174","444,6606","621,1679"
"OLE","OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,0167","12,4648","24,6366","30,6674","47,4148","-","-"
"MBL","MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,1679","12,4973","25,9765","32,4100","47,4127","79,1067","119,1931"
"IPG","İŞ PORTFÖY ATAK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,4848","2,4891","17,0054","24,4923","47,3285","236,0816","331,5848"
"HYP","AZİMUT PORTFÖY İVME SERBEST FON","Serbest Şemsiye Fonu","-5,5907","4,2711","12,6798","25,4594","47,3024","356,7231","-"
"HPT","HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,9403","12,2013","24,8993","30,9114","47,2795","105,4678","157,7245"
"TE3","TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,7394","10,9324","24,2776","31,2032","47,1820","182,8077","279,1929"
"FYO","QNB FİNANS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,0527","12,2943","24,7103","30,4411","47,1300","118,4523","173,1474"
"VFK","ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,8162","12,0703","24,2258","30,1222","47,0006","115,9757","-"
"TCF","TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,2380","13,0911","26,9255","34,0466","46,9808","-","-"
"GOH","GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,9289","0,8771","10,2297","33,5291","46,9280","953,1631","-"
"FPK","FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL)FONU","Borçlanma Araçları Şemsiye Fonu","3,8272","12,0387","24,4284","30,2222","46,9146","111,6073","169,7500"
"DSP","DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,4262","6,2769","20,2820","30,3909","46,8682","297,8186","434,2211"
"TI3","İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-16,7168","-1,9249","9,2868","31,1948","46,8479","880,9740","1.648,8759"
"HPO","HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,4142","10,8190","24,4132","31,2109","46,8454","172,2321","251,4622"
"KLU","KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,8260","12,0430","24,5642","30,5576","46,7874","110,7887","-"
"YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-6,4869","1,3530","9,0595","19,1264","46,7684","304,4109","1.018,3886"
"ODP","OSMANLI PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-2,5105","5,7576","13,7522","24,3276","46,6965","-","-"
"PRU","ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9803","10,7356","22,0095","28,0316","46,6749","-","-"
"HKR","HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-15,6536","0,3406","19,2103","46,4736","46,6541","-","-"
"DHJ","DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,0172","-4,7986","-4,3137","32,3833","46,6237","-","-"
"HVS","HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-11,9892","1,0161","19,0698","47,1068","46,5427","986,4075","1.971,8739"
"HSA","HSBC PORTFÖY DEĞİŞKEN (TL) FON","Değişken Şemsiye Fonu","-6,7205","5,6862","22,8359","38,7757","46,5060","567,5914","1.123,8960"
"AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","3,3355","10,8953","23,0263","29,2678","46,2325","118,7768","171,1375"
