"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"OPH","OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-11,1789","0,2741","10,4162","37,4218","40,8406","739,0092","-"
"DKH","DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,1159","-1,4672","17,8501","45,2355","40,8140","-","-"
"FBV","İŞ PORTFÖY MODEL SERBEST FON","Serbest Şemsiye Fonu","-2,4117","4,7543","22,5335","27,6283","40,7416","218,7565","-"
"OBI","OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","1,7434","9,4714","21,6538","29,1435","40,6865","-","-"
"ESG","AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON","Serbest Şemsiye Fonu","-2,2663","3,6466","14,3271","25,8956","40,6741","145,4761","-"
"YAC","YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,5266","3,0452","17,4163","27,6830","40,6736","299,9617","559,3213"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,7235","2,9163","7,2011","34,1072","40,6383","585,2374","1.739,0427"
"DFI","ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","2,6971","14,2404","24,7679","31,0279","40,5438","-","-"
"YBE","YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,7779","7,8953","16,1645","20,5750","40,4558","330,9455","633,7064"
"AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,1608","8,1539","16,0134","20,1868","40,3803","339,0490","658,5369"
"NBH","NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON","Serbest Şemsiye Fonu","-2,1457","9,7244","12,7791","30,3059","40,1764","206,6038","-"
"KPU","KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,1413","-0,8075","6,9976","31,5713","40,1456","-","-"
"PDD","QİNVEST PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","2,5362","8,9348","21,7949","29,0232","40,0563","176,7453","-"
"TLH","AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,0524","-4,9471","8,7283","37,9529","39,9491","849,0906","1.340,1057"
"GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,4793","1,7021","18,6135","17,6716","39,8444","361,8432","561,8162"
"AFV","AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","0,0003","3,3174","17,5736","22,3904","39,7846","342,8186","767,8046"
"YPV","YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-5,5656","-1,2080","17,3782","26,3507","39,5677","266,6476","-"
"YAK","YAPI KREDİ PORTFÖY KARMA FON","Karma Şemsiye Fonu","-2,4679","5,2365","16,7572","28,7798","39,5116","331,6911","559,9534"
"MPN","AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,1978","7,3221","14,9130","19,3109","39,5031","-","572,2865"
"FID","FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-7,8716","0,7149","13,4579","30,1050","39,4976","461,6016","915,0257"
"DBB","DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,7243","9,1535","19,3368","24,9613","38,6331","118,5120","158,5316"
"KTN","KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","2,6254","8,1550","18,9316","24,2496","38,3749","112,0105","170,1048"
"HOY","HSBC PORTFÖY YABANCI BYF FON SEPETI","Fon Sepeti Şemsiye Fonu","0,7229","6,9404","14,8348","21,0425","38,3525","303,2342","590,0473"
"ODS","OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","3,7657","7,1357","14,5126","19,6954","38,3086","355,8017","691,0549"
"TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,2145","5,0591","8,2958","34,7890","38,3082","523,6522","1.822,6245"
"FFH","QNB FİNANS PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","-0,8394","7,6810","17,6428","28,0218","37,8833","271,6103","-"
"HP3","HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4334","6,3629","14,5603","20,7632","37,8017","-","-"
"YZK","YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON","Serbest Şemsiye Fonu","4,1932","8,7533","16,5158","20,3787","37,7888","283,2878","-"
"TVN","TRIVE PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-1,8025","1,7644","13,3566","20,0526","37,6510","-","-"
"IJB","İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON","Karma Şemsiye Fonu","0,2779","6,8330","14,3075","24,7551","37,6226","252,7762","-"
"GZG","GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,0955","8,4885","18,3317","26,7041","37,6204","-","-"
"YLY","YAPI KREDİ PORTFÖY KİLYOS KAR PAYI ÖDEYEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-9,2952","-4,3230","10,3854","33,2411","37,6174","-","-"
"IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","3,3414","7,2757","15,0255","20,6114","37,5624","359,9591","710,7631"
"TPJ","TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,3707","7,6666","15,6602","20,9063","37,5355","354,4713","701,7045"
"ZJV","ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,3068","0,6069","7,7069","38,2729","37,5127","651,3109","-"
"AC6","PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7245","5,7611","13,0313","17,6041","37,4580","-","-"
"GTY","GARANTİ PORTFÖY TREND SERBEST FON","Serbest Şemsiye Fonu","1,0874","5,5062","9,6123","10,2572","37,3481","189,6476","-"
"USY","ÜNLÜ PORTFÖY DEĞER YATIRIMLARI SERBEST FON","Serbest Şemsiye Fonu","-0,9052","3,6329","15,0787","19,2465","37,3093","456,6414","631,4784"
"ODD","OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","-3,0751","4,6153","18,0146","29,0179","37,3005","243,9645","-"
"RTG","ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-8,9861","-1,1933","4,3895","14,2917","37,2810","-","-"
"KID","TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,1686","7,2038","13,4944","17,4863","37,2786","-","-"
"GBG","INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","0,6038","4,5740","15,2188","19,6542","37,2423","307,3370","757,9999"
"ZPF","ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ)","Katılım Şemsiye Fonu","2,8108","6,3919","14,5444","19,8265","37,0180","320,0313","575,7114"
"IUV","İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON","Serbest Şemsiye Fonu","3,5290","7,0951","14,8517","20,6561","36,8120","-","-"
"TI6","İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","2,4852","9,5850","19,8817","24,2795","36,7939","136,6104","185,9105"
"NHP","NEO PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,2654","9,5784","15,3845","22,7866","36,4039","-","-"
"RBK","ALBARAKA PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","2,9069","6,2990","14,7861","19,8057","36,2199","240,4726","418,6141"
"YAN","YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,9352","2,3956","13,6958","23,1329","36,1624","251,3454","490,5830"
"ZPA","ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,8224","5,8653","12,7877","18,3574","36,1017","401,1420","-"
"OUD","OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9163","6,4195","13,5289","19,5295","35,9344","358,4738","-"
"TIE","İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,2306","-0,7494","13,8118","37,9950","35,9296","586,5008","805,2262"
"TPZ","TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU","Katılım Şemsiye Fonu","2,9081","6,5762","14,5680","19,1970","35,8857","362,6936","650,9804"
"RBR","RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-0,3222","4,1436","20,9947","26,2119","35,7903","-","-"
"TPL","TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,9844","7,2552","14,7332","19,6760","35,7746","329,5893","613,4337"
"GMD","GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,3004","6,0140","13,5220","19,9031","35,7502","-","-"
"AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","Serbest Şemsiye Fonu","4,1504","7,5819","15,2108","21,2601","35,7421","355,7236","718,6727"
"GPF","GARANTİ PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","0,3594","4,8988","13,0918","20,5192","35,7059","144,7225","198,7072"
"UJA","ÜNLÜ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON","Serbest Şemsiye Fonu","1,6222","6,4119","15,1654","20,6589","35,4888","129,7866","-"
"GAE","GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,0937","-0,6212","14,1699","39,0583","35,4269","586,2708","800,6326"
"TE4","TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,8941","5,9643","17,4693","24,2230","35,3034","177,8762","-"
"CKS","İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6204","5,6285","13,6167","18,6794","35,2778","-","-"
"YKS","YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON","Serbest Şemsiye Fonu","1,8435","9,0245","21,4535","28,7412","35,2312","251,6131","405,3607"
"GZV","GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-1,8228","4,0861","13,1438","19,5516","35,1472","298,4770","-"
"RPS","ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6733","5,5307","12,7998","18,5272","35,0946","-","-"
"TJT","TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","4,1326","7,6613","15,4795","17,5412","35,0699","-","-"
"DZE","DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,5555","-0,8440","13,2162","38,5903","35,0149","646,2710","978,5054"
"IEV","İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,3283","5,1911","11,1875","23,8005","34,9600","-","-"
"FBZ","FİBA PORTFÖY KAR PAYI ÖDEYEN SERBEST FON","Serbest Şemsiye Fonu","3,6377","8,8385","17,7710","18,1204","34,9416","105,3981","-"
"IVF","İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-7,0970","-1,5730","12,4742","40,4348","34,8615","-","-"
"IAU","PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON","Serbest Şemsiye Fonu","3,3308","9,7222","21,2757","27,2946","34,7849","-","-"
"ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9248","5,8314","13,0604","18,6656","34,7646","347,5406","681,5962"
"IJT","İŞ PORTFÖY TARIM SERBEST FON","Serbest Şemsiye Fonu","-5,2617","2,4052","11,1779","17,1480","34,6257","440,6184","-"
"HGV","HEDEF PORTFÖY SENTİMENT SERBEST FON","Serbest Şemsiye Fonu","-1,3377","8,5941","14,1094","24,5398","34,6168","-","-"
"DSD","DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON","Serbest Şemsiye Fonu","3,6928","7,0652","14,5224","16,5366","34,5788","290,9620","572,7327"
"KTT","KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9502","6,2532","13,5330","19,0380","34,5604","341,8791","578,4736"
"NCS","NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6891","5,7265","11,1629","19,9538","34,2044","-","-"
"ZPE","ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,6931","-0,4812","6,5357","30,5466","34,1929","599,4249","1.556,0714"
"DTZ","AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON","Değişken Şemsiye Fonu","-3,3843","1,3977","8,0077","21,5196","34,1667","-","-"
"KRT","KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON","Serbest Şemsiye Fonu","2,7694","5,9266","13,3893","19,2940","34,1258","353,3348","685,7222"
"OTK","OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","2,3319","9,2195","21,2286","34,6503","34,0884","141,7821","221,5158"
"AGC","AK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,3381","7,9706","15,7088","20,6386","33,9216","270,3261","482,0581"
"HBU","HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,5487","-1,0755","12,9721","38,2075","33,6398","629,9475","874,8955"
"TMM","TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,3290","7,1097","12,8523","16,7484","33,5238","-","-"
"IDF","İŞ PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9200","5,9467","13,1839","18,6443","33,5090","353,8694","655,0124"
"NSD","NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6971","5,8144","12,0139","17,3370","33,4865","-","-"
"ZCN","ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-2,7904","2,1972","18,2979","21,5287","33,4786","-","-"
"IUF","İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,8281","7,0367","14,5445","16,2017","33,3509","-","-"
"IUT","INVEO PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,7486","4,9433","19,9386","26,2878","33,1322","-","-"
"PSL","AZİMUT PORTFÖY 8.0 SERBEST FON","Serbest Şemsiye Fonu","2,3100","5,8399","13,0273","18,0495","33,0387","320,5608","-"
"GKV","GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,1653","0,8404","10,3876","36,7670","32,9819","-","-"
"HMC","HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON","Serbest Şemsiye Fonu","-3,8785","-2,0961","5,3835","25,3286","32,9369","-","-"
"GIH","ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-8,8950","2,0969","5,6838","33,6676","32,9083","-","-"
"AKU","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,0921","-1,0700","12,6885","36,7101","32,8178","585,5911","808,3033"
"YPL","YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9864","5,9538","12,9965","18,6028","32,7448","348,7209","646,1850"
"IDD","LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON","Serbest Şemsiye Fonu","-4,0878","-0,1504","14,6050","33,6008","32,5917","186,8536","321,6981"
"GAS","GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,8086","5,7740","12,4005","17,8821","32,3375","336,7421","628,0667"
"PDF","QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9018","5,8263","12,9309","18,3802","32,3099","321,3457","-"
"RPX","ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5076","5,2158","11,6591","16,9427","32,2759","-","-"
"KIS","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU","Katılım Şemsiye Fonu","3,5837","5,4371","13,2843","18,4577","32,1235","322,4655","555,5345"
"IZS","İSTANBUL PORTFÖY ALTINCI SERBEST FON","Serbest Şemsiye Fonu","7,8970","4,5772","8,4586","12,4015","32,0726","297,4290","-"
"TPC","TEB PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-2,2603","2,6652","19,1148","22,6825","32,0682","236,8485","404,2939"
"AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","0,9718","3,6758","12,8934","16,5550","32,0524","277,6036","902,6049"
"TJF","TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-6,2376","0,4554","16,9885","19,6255","31,9865","226,7019","-"
"EUZ","GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,4579","6,6059","13,7717","15,7443","31,8215","294,7901","-"
"FI3","QNB FİNANS PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,8045","8,5290","17,2334","22,1786","31,8186","131,0288","185,3553"
"YVG","YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,5940","6,6378","14,0071","15,9648","31,5628","-","-"
"FMR","FİBA PORTFÖY MART 2025 SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6140","5,8034","12,7637","18,5535","31,4956","-","-"
"FPZ","QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4124","5,2643","11,6688","17,0227","31,2256","332,1671","648,6603"
"OIL","OSMANLI PORTFÖY AGRESİF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-10,0241","3,0951","20,1192","24,4015","31,1719","-","-"
"AEV","ALLBATROSS PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-11,5649","-6,1196","5,0835","30,5413","31,0403","-","-"
"IHT","İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,8433","0,2127","5,7191","30,0977","31,0395","-","-"
"ZP6","ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON","Serbest Şemsiye Fonu","2,5946","5,8230","12,5318","18,0412","31,0237","-","-"
"YMD","YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON","Serbest Şemsiye Fonu","2,4920","5,3171","11,7674","17,0769","31,0207","-","-"
"UPD","ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","2,5152","5,9206","12,5267","18,2028","30,7539","331,0062","653,1625"
"YJY","YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6918","5,4952","12,3582","17,9336","30,6750","331,6158","-"
"GAG","INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON","Serbest Şemsiye Fonu","2,4877","5,3975","11,7113","17,1050","30,4752","327,4854","643,0220"
"GBZ","AZİMUT PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-2,3827","-3,2741","15,9777","14,7147","30,3858","-","-"
"OFI","OYAK PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,3855","3,4942","17,2749","20,1594","30,3814","-","-"
"YTV","YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON","Değişken Şemsiye Fonu","-1,2510","3,0443","19,0574","20,8480","30,3514","-","-"
"OLA","OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON","Serbest Şemsiye Fonu","3,6306","6,3597","13,0152","15,2121","30,1697","-","-"
"DAS","DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4556","5,3206","11,8639","17,3264","29,9948","-","-"
"HST","HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","-0,0302","6,6446","14,7588","17,4689","29,9587","117,5717","164,7972"
"TDG","İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,5545","5,4444","11,5673","16,7424","29,9096","265,2306","489,6229"
"ZP9","ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,4594","6,6554","14,1266","15,9768","29,8408","-","-"
"PAL","AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,4678","5,3413","11,6047","16,9848","29,8244","329,7340","-"
"PBK","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","1,5122","4,0123","10,6538","15,6667","29,6437","335,6635","-"
"NZH","NEO PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,9279","-0,0028","6,2562","12,7963","29,6164","102,3788","-"
"IKP","İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON","Karma Şemsiye Fonu","-0,8033","5,4619","20,4219","19,7964","29,5014","247,3797","-"
"GRO","GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3479","5,1670","11,6040","17,1829","29,2994","-","-"
"YNK","YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,3860","4,7135","9,9778","13,7360","29,2855","-","-"
"YLO","YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,3900","-0,5525","14,2097","18,8987","29,2597","-","-"
"NBZ","NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4132","5,2954","11,6237","16,6702","29,2373","357,6041","-"
"ONK","AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,5406","6,7110","13,8996","15,6312","29,1741","-","-"
"YP4","YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3810","5,1412","11,3876","16,6147","29,1627","-","-"
"ONS","İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3778","5,1801","11,4890","16,7866","29,1423","-","-"
"DOV","DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,5062","6,7232","14,0502","15,8421","29,0218","-","-"
"MTS","AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,9360","0,4916","19,6391","19,7833","28,9207","-","-"
"MJL","AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,4951","6,5913","13,5192","15,2493","28,4849","293,2533","-"
"KHT","ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-5,3923","-7,7506","3,2455","33,3536","28,3618","-","-"
"ST1","STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,1507","0,3371","1,9277","27,6223","28,1310","790,9633","1.751,8733"
"ZSF","ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","3,0841","6,8873","8,9139","16,6974","28,0220","-","-"
"FKE","QNB FİNANS PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,4210","6,4842","13,3765","14,9941","27,9827","-","-"
"OJB","QNB FİNANS PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2796","4,8631","10,7505","15,8875","27,8244","309,4769","-"
"GPL","GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2787","4,9391","10,9594","16,0795","27,7282","-","-"
